ラベル用備考,ラベル発行枚数,リテスト延長使用期限,リテスト試験日数,使用剤形,使用期限表示,保障期間,公差使用,分類,単価,原料ID,原料コード,原料区分,原料名,原料簿コード（サブ）,原料簿コード（メイン）,原産国表示,受入試験後使用期限,品質管理備考,商品名,商品名カナ,在庫単位（係数）,変更申請／変更指示,差分警告割合,正袋秤量,正袋重量,生産本部備考,画像パス,発注単位,荷姿,補正情報,製造所,規格,調達区分,販売者,風袋重量,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"13,760",301,B4502,通常,ドリンクエッセンス A-70943,（未設定）,240 : ドリンクエッセンスＡ-70943 ／ 食添 ／ 高砂香料工業㈱ ／ イワキ㈱,,12 ヵ月,,ドリンクエッセンス A-70943,ﾄﾞﾘﾝｸｴﾂｾﾝｽ ｴｰﾅﾅｾﾞﾛｷﾕｳﾖﾝｻﾝ,g（1）,,1％,可能,1kg,【比重】規格:0.896～0.916、実績平均値:0.907,images\301.jpg,kg,1kg,,高砂香料工業㈱,香料,購買,スペラネクサス㈱,0.77kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,メーカー期限1年,する,その他,"5,150",304,B4520,通常,ドリンクフレーバー №5648,（未設定）,483 : ドリンクフレーバー№5648 ／  ／ 橘香料㈱ ／ ㈱立花商店,,12 ヵ月,,ドリンクフレーバー №5648,ﾄﾞﾘﾝｸﾌﾚｰﾊﾞｰﾅﾝﾊﾞｰｺﾞﾛｸﾖﾝﾊﾁ,g（1）,,1％,可能,1kg,【比重】規格:0.918～0.958、実績平均値:0.939,images\304.jpg,kg,1kg,,橘香料㈱,香料,購買,㈱立花商店,0.08kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,メーカー期限1年,する,その他,"8,200",305,B4521,通常,ドリンクフレーバー №5649,（未設定）,484 : ドリンクフレーバー№5649 ／  ／ 橘香料㈱ ／ ㈱立花商店,,12 ヵ月,,ドリンクフレーバー №5649,ﾄﾞﾘﾝｸﾌﾚｰﾊﾞｰﾅﾝﾊﾞｰｺﾞﾛｸﾖﾝｷﾕｳ,g（1）,,1％,可能,1kg,【比重】規格:0.918～0.958、実績平均値:0.937,images\305.jpg,kg,1kg,,橘香料㈱,香料,購買,㈱立花商店,0.08kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,,する,主薬,"2,600",308,F0176,通常,L-ロイシン,（未設定）,（未設定）,,12 ヵ月,,食品添加物 L-ロイシン(サンクト),ｼﾖｸﾋﾝﾃﾝｶﾌﾞﾂ ｴﾙﾛｲｼﾝ.ｻﾝｸﾄ.,g（1）,,1％,可能,20kg,,images\308.jpg,kg,25kg,,㈱サンクト,食添,購買,㈱サンクト,2kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"8,150",31,F0090,通常,L-ロイシン,（未設定）,404 : L-ロイシン（食添） ／ 食添 ／ 味の素㈱ ／ 東海澱粉?興和（食）,,12 ヵ月,,食品添加物 L-ロイシン(味の素),ｼﾖｸﾋﾝﾃﾝｶﾌﾞﾂ ｴﾙﾛｲｼﾝ.ｱｼﾞﾉﾓﾄ.,g（1）,,1％,可能,20kg,,images\31.jpg,kg,20kg,,味の素㈱,食添,購買,興和㈱食品事業部,0.62kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,,する,主薬,"3,500",310,F0177,通常,L-イソロイシン,（未設定）,（未設定）,,12 ヵ月,,食品添加物 L-イソロイシン(サンクト),ｼﾖｸﾋﾝﾃﾝｶﾌﾞﾂ ｴﾙｲｿﾛｲｼﾝ.ｻﾝｸﾄ.,g（1）,,1％,可能,25kg,,images\310.jpg,kg,25kg,,㈱サンクト,食添,購買,㈱サンクト,2kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"6,900",311,B4517,通常,ドリンクフレーバーYA-9485,（未設定）,413 : ドリンクフレーバーYA-9485 ／  ／ 長谷川香料 ／ 安井香料薬品,,12 ヵ月,,ドリンクフレーバー YA-9485,ﾄﾞﾘﾝｸﾌﾚｰﾊﾞｰ ﾜｲｴｰｷﾕｳﾖﾝﾊﾁｺﾞ,g（1）,,1％,可能,1kg,【比重】規格:1.033～1.053、規格中央値:1.043,images\311.jpg,kg,1kg,,長谷川香料㈱,香料,購買,安井香料薬品㈱,0.145kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"7,500",312,B4509,通常,ドリンクフレーバーYF-5184,（未設定）,247 : ドリンクフレーバーＹＦ-5184 ／  ／ 山本香料㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,ドリンクフレーバーYF-5184,ﾄﾞﾘﾝｸﾌﾚｰﾊﾞｰﾜｲｴﾌｺﾞｲﾁﾊﾁﾖﾝ,g（1）,,1％,可能,15kg,緑ヶ丘工場:ビルトン3000(ベスビタD3000)で使用中。ゆめぽりす工場:使用製品なし。(kg入荷、L使用、0.8979),,kg,15kg,,山本香料㈱,香料,購買,日本バルク薬品㈱,1.4kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"4,000",313,B4518,通常,ドリンク用エッセンス#1001,（未設定）,414 : ドリンク用エッセンス#1001 ／  ／ 高田香料㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,ドリンク用エッセンス #1001,ﾄﾞﾘﾝｸﾖｳｴﾂｾﾝｽ ﾅﾝﾊﾞｰｲﾁｾﾞﾛｾﾞﾛｲﾁ,g（1）,,1％,可能,1kg,受注生産(kg入荷、L使用、【比重】規格:0.899～0.919、実績平均値:0.909),images\313.jpg,kg,1kg,,高田香料㈱,香料,購買,日本バルク薬品㈱,0.08kg,,
,1 枚,12 ヵ月,14 日,坐剤/軟膏,リテスト,―,する,その他,"2,330",315,A4202,通常,中鎖脂肪酸トリグリセリド,（未設定）,350 : ミグリオール812　（＝中鎖脂肪酸トリグリセリド） ／  ／ 綿半トレーディング㈱ ／ 日本バルク薬品㈱,,12 ヵ月,"2016/7/1付,ミツバ貿易から社名変更",MIGLYOL 812N  中性油,ﾐｸﾞﾘｵｰﾙ ﾊﾁｲﾁﾆｴﾇ ﾁﾕｳｾｲﾕ,g（1）,2023年04月01日以降のメーカー納入分より【変更23-021】綿半トレーディング㈱から納品されるIOI OleoGmbH製品の試験項目一部削除,1％,可能,25kg,中鎖脂肪酸トリグリセリド,images\315.jpg,kg,25kg,,綿半トレーディング㈱,薬添規,購買,日本バルク薬品㈱,1.45kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,メーカー保証2年(未開封),する,主薬,"9,000",316,F0151,通常,ナツメエキス,（未設定）,468 : ナツメエキス ／ 食品用 ／ 日本粉末薬品㈱ ／ 日本粉末薬品㈱,,12 ヵ月,,ナツメエキス(食品原料用),ﾅﾂﾒｴｷｽ,g（1）,,1％,可能,1kg,,images\316.jpg,kg,1kg,,日本粉末薬品㈱,食品メーカー規格,購買,日本粉末薬品㈱,0.075kg,,
,2 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"2,650",318,A5202,通常,ニコチン酸アミド,（未設定）,251 : ニコチン酸アミド(日局）＜ロンザ・ジャパン＞ ／ 日局 ／ ロンザ・ジャパン㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,ニコチン酸アミド,ﾆｺﾁﾝｻﾝｱﾐﾄﾞ,g（1）,,1％,可能,20kg,日局:ロンザジャパン→有機合成薬品工業に変更になる,,kg,20kg,,有機合成薬品工業㈱,日局,購買,日本バルク薬品㈱,0.13kg,,
,2 枚,12 ヵ月,14 日,錠剤/液剤,使用期限,―,する,主薬,"2,790",319,A5203,通常,ニコチン酸アミド,（未設定）,252 : ニコチン酸アミド(日局）＜ＤＳＭ＞ ／ 日局 ／ ＤＳＭ㈱ ／ 金剛薬品㈱,,12 ヵ月,,ニコチン酸アミド(DSM),ﾆｺﾁﾝｻﾝｱﾐﾄﾞ.ﾃﾞｰｴｽｴﾑ.,g（1）,,1％,可能,20kg,,images\319.jpg,kg,20kg,,DSM,日局,購買,金剛薬品㈱,0.14kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"19,600",32,F0040,通常,α-G-ルチン,（未設定）,400 : αＧルチンＰ ／ 食添 ／ 東洋精糖 ／ 日本バルク薬品㈱,,12 ヵ月,,αGルチン,ｱﾙﾌｱｼﾞｰﾙﾁﾝ,g（1）,,1％,可能,1kg,酵素処理ルチン(商品名:αGルチン),,kg,1kg,,東洋精糖㈱,食品メーカー規格,購買,日本バルク薬品㈱,0.03kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"2,600",320,F0013,通常,ニコチン酸アミド,（未設定）,253 : ニコチン酸アミド(食添） ／ 食添 ／ ロンザ・ジャパン㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,食品添加物 ニコチン酸アミド,ﾆｺﾁﾝｻﾝｱﾐﾄﾞ,g（1）,【変更22-158】ロンザジャパン㈱の社名変更(→アークサーダジャパン㈱)及び食品添加物ニコチン酸アミドの社名変更に伴う表示ラベルの変更2022.6.23入荷,1％,可能,20kg,,images\320.jpg,kg,20kg,,アークサーダジャパン㈱,食添,購買,日本バルク薬品㈱,0.13kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,その他,"1,350",321,A5205,通常,二酸化ケイ素,（未設定）,146 : サイロピュート130 ／  ／ 富士シリシア化学㈱ ／ 富士シリシア化学㈱,,12 ヵ月,2013/9/3より303から変更,サイロピュート130,ｻｲﾛﾋﾟﾕｰﾄｲﾁｻﾝｾﾞﾛ,g（1）,,1％,可能,20kg,,,kg,20kg,,富士シリシア化学㈱,食添,購買,富士シリシア化学㈱,0.42kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,―,する,その他,990,322,A5204,通常,乳糖水和物,（未設定）,261 : 乳糖水和物 200M　＜ＤＭＶ＞ ／ 日局 ／ DMV（DFE） ／ 日本バルク薬品㈱,,12 ヵ月,2011/11よりDMVからDFEに名称変更,Lactose Pharmatose 200M(乳糖200M),ﾗｸﾄｰｽ ﾌｱｰﾏﾄｰｽ ﾆﾋﾔｸﾒﾂｼﾕ.ﾆﾕｳﾄｳﾆﾋﾔｸﾒﾂｼﾕ.,g（1）,,1％,可能,25kg,,images\322.jpg,kg,25kg,,"DFE pharma GmBH&CO,KG.",日局,購買,日本バルク薬品㈱,0.275kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"73,000",325,C5202,通常,ニンジンエキス,（未設定）,264 : ニンジンエキス-Ｐ ／  ／ 日本粉末薬品㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,人参エキス-P,ﾆﾝｼﾞﾝｴｷｽ ﾋﾟｰ,g（1）,,1％,可能,1kg,,,kg,1kg,,日本粉末薬品㈱,別紙規格,購買,日本バルク薬品㈱,0.175kg,,
,2 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"44,000",326,K0011,通常,人参乾燥エキス,（未設定）,265 : 人参乾燥エキス ／  ／ 日本粉末薬品㈱ ／ 日本粉末薬品㈱,,12 ヵ月,,人参乾燥エキス,ﾆﾝｼﾞﾝｶﾝｿｳｴｷｽ,g（1）,,1％,可能,7kg,,images\326.jpg,kg,7kg,,日本粉末薬品㈱,別紙規格,購買,日本粉末薬品㈱,0.22kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"57,500",327,C5210,通常,ニンジン軟エキス-A,（未設定）,266 : ニンジン軟エキス-Ａ ／  ／ アルプス薬品工業㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,ニンジン軟エキス-A,ﾆﾝｼﾞﾝﾅﾝｴｷｽｴｰ,g（1）,,1％,可能,1kg,,images\327.jpg,kg,1kg,,アルプス薬品工業㈱,別紙規格,購買,日本バルク薬品㈱,0.135kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"50,080",328,C5204,通常,人参軟エキス-I,（未設定）,267 : ニンジン軟エキスⅠ　（＝リケン人参エキスⅠ） ／  ／ 理研化学工業㈱ ／ イワキ㈱,,12 ヵ月,,リケン人参エキス,ﾘｹﾝﾆﾝｼﾞﾝｴｷｽ,g（1）,,1％,可能,1kg,,images\328.jpg,kg,1kg,,理研化学工業㈱,別紙規格,購買,スペラネクサス㈱,0.073kg,,
,1 枚,12 ヵ月,14 日,液剤,リテスト,,する,主薬,0,329,F0183,通常,羅漢果エキス,（未設定）,（未設定）,,12 ヵ月,,羅漢果エキス,ﾗｶﾝｶｴｷｽ,g（1）,,1％,可能,5kg,,images\329.jpg,kg,5kg,,㈱アクセスワン,食品メーカー規格,支給,日本製薬工業㈱,0.108kg,,
,2 枚,12 ヵ月,14 日,錠剤,表示なし,―,する,主薬,"9,785",330,C5209,通常,ニンジン末,（未設定）,268 : ニンジン末 ／ 日局 ／ 日本粉末薬品㈱ ／ 日本粉末薬品㈱,,12 ヵ月,,ニンジン末,ﾆﾝｼﾞﾝﾏﾂ,g（1）,,1％,可能,10kg,,images\330.jpg,kg,10kg,,日本粉末薬品㈱,日局,購買,日本粉末薬品㈱,0.055kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,メーカー保証3年,する,主薬,"258,000",334,A1410,通常,ノスカピン塩酸塩水和物,（未設定）,274 : ノスカピン塩酸塩水和物 ／ 日局 ／ 白鳥製薬㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,塩酸ノスカピン,ｴﾝｻﾝﾉｽｶﾋﾟﾝ,g（1）,,1％,可能,1kg,終売品最終入荷、納期2024.5以降で納期相談中。【変更連絡21-246】ノスカピン塩酸塩水和物に品名変更現行品、メーカー在庫のみ。代替品探し中(日本バルク三木さん)2021.1.8※次回納品分から商品名「ノスカピン塩酸塩水和物」に変更。2021.11.3,images\334.jpg,kg,1kg,,白鳥製薬㈱,日局,購買,日本バルク薬品㈱,0.015kg,,
,2 枚,12 ヵ月,14 日,坐剤,表示なし,―,する,その他,"2,715",335,A6118,通常,ハードファット,（未設定）,023 : イソカカオＭＬ-35（Ｐ） ／ 薬添規 ／ 花王㈱ ／ 金剛薬品㈱,,12 ヵ月,,イソカカオ ML-35(P),ｲｿｶｶｵ ｴﾑｴﾙｻﾝｼﾞﾕｳｺﾞﾋﾟｰ,g（1）,,1％,可能,10kg,納期かかる。2ヶ月前発注。ジクロJG専用,images\335.jpg,kg,10kg,,花王㈱,薬添規,購買,金剛薬品㈱,0.1kg,,
,2 枚,12 ヵ月,14 日,坐剤,リテスト,―,する,その他,"1,830",336,A6105,通常,ハードファット,（未設定）,033 : ウイテプゾール Ｅ-85　（＝ハードファット）　 ／ 薬添規 ／ 綿半トレーディング㈱ ／ アルフレッサファーマ,,12 ヵ月,"2016/7/1付,ミツバ貿易から社名変更",ウイテプゾール E-85,ｳｲﾃﾌﾟｿﾞｰﾙ ｲｰﾊﾁｼﾞﾕｳｺﾞ,g（1）,2023年04月01日以降のメーカー納入分より【変更23-021】綿半トレーディング㈱から納品されるIOI OleoGmbH製品の試験項目一部削除,1％,可能,20kg,原産国:ドイツ,images\336.jpg,kg,20kg,.,綿半トレーディング㈱,薬添規,購買,アルフレッサファーマ㈱,0.105kg,,
,2 枚,12 ヵ月,14 日,坐剤,リテスト,―,する,その他,"1,840",337,A6121,通常,ハードファット,（未設定）,035 : ウイテプゾール Ｗ-32 ／ 薬添規 ／ 綿半トレーディング㈱ ／ 日本バルク薬品㈱,,12 ヵ月,"2016/7/1付,ミツバ貿易から社名変更",ウイテプゾール W-32,ｳｲﾃﾌﾟｿﾞｰﾙ ﾀﾞﾌﾞﾙｻﾝｼﾞﾕｳﾆ,g（1）,【変更23-021】綿半トレーディング㈱から納品されるIOI OleoGmbH製品の試験項目一部削除,1％,可能,20kg,製造依頼は640kg単位!!4/5製造依頼分あと200kg・9/2製造依頼640kg,images\337.jpg,kg,20kg,,綿半トレーディング㈱,薬添規,購買,日本バルク薬品㈱,0.075kg,,
,2 枚,12 ヵ月,14 日,坐剤,リテスト,―,する,その他,"1,930",338,A6106,通常,ハードファット,（未設定）,034 : ウイテプゾール Ｗ-35　（＝ハードファット）　 ／ 薬添規 ／ 綿半トレーディング㈱ ／ 日本バルク薬品㈱,,12 ヵ月,"2016/7/1付,ミツバ貿易から社名変更",ウイテプゾール W-35,ｳｲﾃﾌﾟｿﾞｰﾙ ﾀﾞﾌﾞﾙｻﾝｼﾞﾕｳｺﾞ,g（1）,【変更23-021】綿半トレーディング㈱から納品されるIOI OleoGmbH製品の試験項目一部削除,1％,可能,20kg,原産国:ドイツ,images\338.jpg,kg,20kg,,綿半トレーディング㈱,薬添規,購買,日本バルク薬品㈱,0.105kg,,
,2 枚,12 ヵ月,14 日,坐剤,リテスト,―,する,その他,"1,930",339,A6115,通常,ハードファット,（未設定）,036 : ウイテプゾール Ｈ-15 ／ 薬添規 ／ 綿半トレーディング㈱ ／ 興和㈱,,12 ヵ月,"2016/7/1付,ミツバ貿易から社名変更",ウイテプゾール H-15,ｳｲﾃﾌﾟｿﾞｰﾙ ｴｲﾁｼﾞﾕｳｺﾞ,g（1）,【変更23-021】綿半トレーディング㈱から納品されるIOI OleoGmbH製品の試験項目一部削除,1％,可能,20kg,"薬添規を購入し,別紙規格で受入。ワコビタール坐剤は、別紙規格。その他の製品は、薬添規規格。",images\339.jpg,kg,20kg,,綿半トレーディング㈱,薬添規/別紙規格,購買,日本バルク薬品㈱,0.105kg,,
,1 枚,12 ヵ月,14 日,坐剤,表示なし,―,する,その他,"2,095",34,A1102,通常,アクリル酸デンプン,（未設定）,153 : サンウエットＩＭ-1000ＭＰＳ　（＝アクリル酸デンプン） ／  ／ サンダイヤポリマー㈱：製造小分、三洋化成：発売元 ／ イワキ㈱,,12 ヵ月,,サンウェット IM-1000MPS,ｻﾝｳｴﾂﾄ ｱｲｴﾑｾﾝｴﾑﾋﾟｰｴｽ,g（1）,,1％,可能,20kg,原産国:日本,images\34.jpg,kg,20kg,,三洋化成工業㈱,薬添規,購買,スペラネクサス㈱,0.305kg,,
,2 枚,12 ヵ月,14 日,坐剤,リテスト,―,する,その他,"1,930",343,A6133,通常,ハードファット,（未設定）,604 : ウイテプゾールE-75 ／ 薬添規 ／ 綿半トレーディング ／ アルフレッサファーマ,,12 ヵ月,長生堂,ウイテプゾール E-75,ｳｲﾃﾌﾟｿﾞｰﾙ ｲｰﾅﾅｼﾞﾕｳｺﾞ,g（1）,【変更23-021】綿半トレーディング㈱から納品されるIOI OleoGmbH製品の試験項目一部削除,1％,可能,20kg,,images\343.jpg,kg,20kg,.,綿半トレーディング㈱,薬添規,購買,日本バルク薬品㈱,0.105kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"25,700",344,F0154,通常,ハーブエキスパウダー,（未設定）,471 : ハーブミックスIW-01 ／ 食品用 ／ 小林香料㈱ ／ イワキ㈱,,12 ヵ月,,ハーブミックス IW-01(ハーブエキスパウダー),ﾊｰﾌﾞﾐﾂｸｽ ｻｲﾀﾞﾌﾞﾙｾﾞﾛｲﾁ.ﾊｰﾌﾞｴｷｽﾊﾟｳﾀﾞｰ.,g（1）,,1％,可能,1kg,終売(最終3kg納期相談中で発注済),images\344.jpg,kg,1kg,,小林香料㈱,食品メーカー規格,購買,スペラネクサス㈱,0.025kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"4,700",348,B6102,通常,パイナップルエッセンス #12022,（未設定）,276 : パイナップルエッセンス＃12022 ／  ／ 高田香料㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,パイナップルエッセンス #12022,ﾊﾟｲﾅﾂﾌﾟﾙｴﾂｾﾝｽ ﾅﾝﾊﾞｰｲﾁﾆｾﾞﾛﾆﾆ,g（1）,,1％,可能,1kg,【比重】規格:0.916～0.922、規格中央値:0.919,images\348.jpg,kg,1kg,,高田香料㈱,香料,購買,日本バルク薬品㈱,0.08kg,,
,2 枚,12 ヵ月,14 日,液剤/錠剤,表示なし,―,する,その他,"11,500",35,A1127,通常,アスパルテーム,（未設定）,007 : アスパルテーム ／ 薬添規 ／ 味の素㈱ ／ 日本バルク薬品㈱,,12 ヵ月,自社購買(味の素三重工場製造品),味の素KK アスパルテーム,ｱｼﾞﾉﾓﾄｹｰｹｰｱｽﾊﾟﾙﾃｰﾑ,g（1）,,1％,可能,1kg,3kg(1kg×3),images\35.jpg,kg,3kg,,味の素㈱,薬添規,購買,日本バルク薬品㈱,0.025kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"5,200",351,B6103,通常,パイナップルフレーバー G5531,（未設定）,277 : パイナップルフレーバ-Ｇ-5531 ／  ／ 高砂香料工業㈱ ／ イワキ㈱,,12 ヵ月,,パイナップルフレーバー G-5531,ﾊﾟｲﾅﾂﾌﾟﾙﾌﾚｰﾊﾞｰ ｼﾞｰｺﾞｺﾞｻﾝｲﾁ,g（1）,,1％,可能,5kg,(kg入荷、L使用、【比重】規格:1.010～1.030、規格中央値:1.020),images\351.jpg,kg,5kg,,高砂香料工業㈱,香料,購買,スペラネクサス㈱,0.6kg,,
,1 枚,12 ヵ月,14 日,軟膏/注入軟膏/クリーム剤,表示なし,―,する,その他,"1,075",355,A6101,通常,白色ワセリン,（未設定）,280 : 白色ワセリン　（スノーＶ） ／ 日局 ／ 小城製薬㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,白色ワセリン,ﾊｸｼﾖｸﾜｾﾘﾝ,g（1）,,1％,可能,15kg,Penreco Snow-V(アメリカ:キャルメット・リファイニング社),images\355.jpg,kg,15kg,,小城製薬㈱,日局,購買,日本バルク薬品㈱,1.135kg,,
,1 枚,12 ヵ月,14 日,錠剤,表示なし,,する,その他,960,356,A3118,通常,酸化チタン(TIPAQUE A-100),（未設定）,（未設定）,,12 ヵ月,,TIPAQUE GRADE A-100,ﾀｲﾍﾟｰｸ ｸﾞﾚｰﾄﾞ ｴｰﾋﾔｸ,g（1）,,1％,可能,25kg,,,kg,25kg,,石原産業㈱,日局,購買,日本バルク薬品㈱,0.75kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,その他,542,357,A6103,通常,ハチミツ,（未設定）,281 : ハチミツ  ／ 日局 ／ 秋田屋本店 ／ 日本バルク薬品㈱,,12 ヵ月,2016/11/1より日本養蜂から親会社に社名統一,日本薬局方 ハチミツ「製造専用」,ﾆﾎﾝﾔﾂｷﾖｸﾎｳ ﾊﾁﾐﾂ ｾｲｿﾞｳｾﾝﾖｳ,g（1）,,1％,可能,25kg,【原産国表示対象】精製はちみつ、原産国(表示内容):国内製造※3000kg以上で発注,images\357.jpg,kg,25kg,,㈱秋田屋本店,日局,購買,日本バルク薬品㈱,1.2kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,970,358,F0155,通常,ハチミツ,（未設定）,472 : メキシコ産オレンジはちみつ ／ 食品用 ／ 秋田屋本店 ／ 日本バルク薬品㈱,メキシコ産,12 ヵ月,,純粋はちみつオレンジ,ｼﾞﾕﾝｽｲﾊﾁﾐﾂｵﾚﾝｼﾞ,g（1）,,1％,可能,25kg,【原産国表示対象】ハチミツ、原産国(表示内容):メキシコ産※2021.7～名称変更「メキシコ産オレンジはちみつ」→「純粋はちみつオレンジ」,images\358.jpg,kg,25kg,,㈱秋田屋本店,食品メーカー規格,購買,日本バルク薬品㈱,1.2kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"12,500",36,F0117,通常,アセスルファムカリウム,（未設定）,148 : サネット(アセスルファムカリウム) ／ 食添 ／ 物産フードサイエンス㈱ ／ 日本バルク薬品㈱,,12 ヵ月,2012/4から別紙規格→薬添規 2014/1からキリン協和フーズから名義変更 2019/4/1よりMCフードスペシャリティーズは3社統合による社名変更→2025/1/6商流変更(三菱商事ライフサイエンス→物産フードサイエンス),サネット,ｻﾈﾂﾄ,g（1）,,1％,可能,1kg,,images\36.jpg,kg,1kg,,物産フードサイエンス㈱,食添,購買,日本バルク薬品㈱,0.008kg,,
,1 枚,12 ヵ月,14 日,錠剤,表示なし,,する,,0,361,,通常,,（未設定）,（未設定）,,12 ヵ月,,ガラナ乾燥エキス,ｶﾞﾗﾅｶﾝｿｳｴｷｽ,g（1）,,1％,可能,10kg,,images\361.jpg,kg,10kg,,日本粉末薬品㈱,,購買,日本粉末薬品㈱,0.75kg,,
,2 枚,12 ヵ月,14 日,液剤/クリーム剤,表示なし,メーカー保証3年(未開封),する,その他,"2,500",364,A6109,通常,パラオキシ安息香酸ブチル,（未設定）,289 : パラオキシ安息香酸ブチル　（＝メッキンスＢ） ／ 日局 ／ 上野製薬㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,パラオキシ安息香酸ブチル,ﾊﾟﾗｵｷｼｱﾝｿｸｺｳｻﾝﾌﾞﾁﾙ,g（1）,,1％,可能,10kg,,images\364.jpg,kg,10kg,,上野製薬㈱,日局,購買,日本バルク薬品㈱,0.11kg,,
,1 枚,12 ヵ月,14 日,液剤,リテスト,,する,主薬,0,365,F0184,通常,イチョウ葉エキス,（未設定）,（未設定）,,12 ヵ月,,イチョウ葉エキス,ｲﾁﾖｳﾊｴｷｽ,g（1）,,1％,可能,1kg,,images\365.jpg,kg,1kg,,㈱アクセスワン,食品メーカー規格,支給,日本製薬工業㈱,0.034kg,,
,2 枚,12 ヵ月,14 日,液剤/軟膏/クリーム剤,表示なし,メーカー保証3年(未開封),する,その他,"2,500",366,A6108,通常,パラオキシ安息香酸プロピル,（未設定）,288 : パラオキシ安息香酸プロピル　（＝プロピルパラベン・メッキンスＰ） ／ 日局 ／ 上野製薬㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,FP パラオキシ安息香酸プロピル,ｴﾌﾋﾟｰ ﾊﾟﾗｵｷｼｱﾝｿｸｺｳｻﾝﾌﾟﾛﾋﾟﾙ,g（1）,【19-262】上野製薬様パラオキシ安息香酸プロピル 製造工場変更(伊丹工場工程カット)。(FP 日本薬局方(製造専用)パラオキシ安息香酸プロピル 10kg×1),1％,可能,1kg,1kg×102022.6.29入荷分より「FP パラオキシ安息香酸プロピル」に名称変更,images\366.jpg,kg,1kg,,上野製薬㈱,日局,購買,日本バルク薬品㈱,0.117kg,,
,2 枚,12 ヵ月,14 日,外用液,表示なし,―,する,その他,"2,200",367,A6124,通常,パラオキシ安息香酸メチル(メッキンス-M),（未設定）,609 : パラオキシ安息香酸メチル（外原規） ／ 外原規 ／ 上野製薬㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,メッキンス-M(パラオキシ安息香酸メチル),ﾒﾂｷﾝｽｰＭ.ﾊﾟﾗｵｷｼｱﾝｿｸｺｳｻﾝﾒﾁﾙ.,g（1）,,1％,可能,10kg,外原規・ロートピカ泡クール,images\367.jpg,kg,10kg,,上野製薬㈱,外原規,購買,日本バルク薬品㈱,0.16kg,,
,2 枚,12 ヵ月,14 日,軟膏,表示なし,―,する,その他,790,368,A6111,通常,パラフィン,（未設定）,291 : パラフィンワックス 140 ／ 日局 ／ 日本精蝋㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,パラフィン蝋 140,ﾊﾟﾗﾌｲﾝﾛｳ ｲﾁﾖﾝｾﾞﾛ,g（1）,,1％,可能,28kg,土日跨ぎ×、納期は火曜～金曜,images\368.jpg,kg,28kg,,日本精蝋㈱,日局,購買,日本バルク薬品㈱,0.21kg,,
